15,20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,7
7,6,7,7,7,7,6,7,7,6,7,7,7,7,6,6,7,7,6,7
7,6,6,7,7,6,6,7,7,6,7,7,7,7,6,7,7,7,6,7
7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
7,6,7,7,7,7,6,7,7,6,7,7,7,7,6,6,7,7,6,7
7,6,6,7,7,6,6,7,7,6,7,7,7,7,6,7,7,7,6,7
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,7
7,6,7,7,7,7,6,7,7,6,7,7,7,7,6,6,7,7,6,7
7,6,6,7,7,6,6,7,7,6,7,7,7,7,6,7,7,7,6,7
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
7,6,7,7,7,7,6,7,7,6,7,7,7,7,6,6,7,7,6,7
7,2,6,7,7,6,6,7,7,6,7,7,7,7,5,7,7,7,6,7
7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
