15,20
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
7,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,7
7,6,7,7,7,7,6,7,7,7,6,7,7,7,7,6,7,7,6,7
7,6,7,6,6,6,6,6,6,7,6,6,6,6,7,6,6,6,6,7
7,6,6,6,7,7,7,7,6,7,7,6,7,6,7,7,6,7,6,7
7,6,7,6,7,6,6,6,6,6,7,6,6,6,7,7,6,7,6,7
7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,7
7,6,7,6,6,6,7,6,6,1,6,6,7,6,6,6,6,7,6,7
7,6,7,6,7,6,7,6,7,6,7,6,7,7,6,7,6,6,6,7
7,6,6,6,7,6,6,6,6,6,7,6,6,6,6,7,6,7,6,7
7,6,7,6,7,6,7,7,7,6,7,7,7,6,7,7,6,7,6,7
7,6,7,6,6,6,6,6,7,6,6,6,6,6,7,6,6,7,6,7
7,6,7,7,7,7,7,6,7,7,6,7,7,7,7,6,7,7,6,7
7,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,7
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
